,nombre_estacion,CODIGO,latitud,longitud,cluster
0,BOMBONA,52055030,1.18436111,-77.46511111000001,1
7,TANAMA,52055060,1.37355556,-77.58305556,1
11,TAMINANGO,52045040,1.5491666700000002,-77.2675,1
26,ZULUAGA,21065040,2.2525,-75.52944443999999,1
39,SANTA MARIA,21125010,2.93569444,-75.58905556,1
40,PALACIO-VEGALARGA,21115100,2.94263889,-75.06638889,1
51,SAN ANTONIO QUINTA,22065040,3.90691667,-75.48808333,1
75,ALBANIA,23125060,5.75833333,-73.91333333,1
85,SALAZAR,16025030,7.77458333,-72.83055556000001,1
122,MESA DE POLE,22055020,3.45577778,-75.53636111,2
149,TUNEZ HACIENDA,26175040,5.80025,-75.65097222000001,2
174,TAURAMENA,35195020,5.027257779999999,-72.86984167,4
180,AEROPUERTO FURATENA  - AUT,23125140,5.52083333,-74.18241667,4
182,SAN FRANCISCO,23085140,5.96380556,-75.10069444,4
188,GRANJA EXPERIMENTAL EL NUS  - AUT,23085080,6.48358333,-74.83669444,4
195,VEGACHI,23105030,6.77411111,-74.79652777999999,4
230,PERALES HATO OPIA,21245010,4.42966667,-75.20052222000001,5
234,CAMPOHERMOSO,35085050,5.0345,-73.10366667,5
242,NACIONAL GRANJA LA,26175030,5.71733333,-75.69091667,5
252,LAJA LA,24015250,6.23716667,-73.41538889,5
255,CHARALA,24025050,6.27416667,-73.15055556,5
320,PALMIRA ICA,26075010,3.51347222,-76.31488889,6
323,RELATOR,22015020,3.52913889,-75.63141667,6
325,AEROPUERTO A BONILLA,26075040,3.53668889,-76.38663889,6
331,SAN MARCOS,26105150,4.23891667,-76.03305556000001,6
377,SANTA ROSA D SIMITI,23205030,7.96527778,-74.05916667,7
